P	POP	n
39.2178164	Bodo	8
39.82889734	Bodo	8
39.93753395	Bodo	8
39.04128191	Bodo	8
39.9646931	Bodo	8
39.679522	Bodo	8
40.12764802	Bodo	8
39.3943509	Bodo	8
39.4486692	Bodo	8
38.76969039	Bodo	8
39.47582835	Bodo	8
39.58446496	Bodo	8
39.62520369	Bodo	8
39.89679522	Bodo	8
39.06844106	Bodo	8
39.70668115	Bodo	8
39.61162412	Bodo	8
38.878327	Bodo	8
38.74253123	Bodo	8
38.52525801	Bodo	8
38.76969039	Bodo	8
39.14991852	Bodo	8
39.88321564	Bodo	8
39.65236285	Bodo	8
39.46224878	Bodo	8
40.16838675	Bodo	8
39.88321564	Bodo	8
39.59804454	Bodo	8
39.38077132	Bodo	8
39.80173819	Bodo	8
39.679522	Bodo	8
38.25366649	Bodo	8
38.97338403	Bodo	8
38.34872352	Bodo	8
38.37588267	Bodo	8
39.7338403	Bodo	8
39.43508963	Bodo	8
40.00543183	Bodo	8
39.88321564	Bodo	8
38.47093971	Bodo	8
39.62520369	Bodo	8
39.77457903	Bodo	8
39.2178164	Bodo	8
39.53014666	Bodo	8
39.00054318	Bodo	8
39.09560022	Bodo	8
39.40793047	Bodo	8
38.97338403	Bodo	8
39.05486149	Bodo	8
39.32645301	Bodo	8
38.81042911	Bodo	8
39.13633895	Bodo	8
39.23139598	Bodo	8
39.70668115	Bodo	8
40.03259098	Bodo	8
38.30798479	Bodo	8
39.31287344	Bodo	8
39.65236285	Bodo	8
39.59804454	Bodo	8
39.4486692	Bodo	8
38.67463335	Bodo	8
41.24117328	Bodo	10
41.21401412	Bodo	10
40.88810429	Bodo	10
41.82509506	Bodo	10
40.45355785	Bodo	10
40.83378599	Bodo	10
41.52634438	Bodo	10
41.17327539	Bodo	10
40.9424226	Bodo	10
41.24117328	Bodo	10
41.14611624	Bodo	10
41.32265073	Bodo	10
42.11026616	Bodo	10
40.34492124	Bodo	10
41.10537751	Bodo	10
41.03747963	Bodo	10
40.46713743	Bodo	10
41.11895709	Bodo	10
40.38565997	Bodo	10
41.13253666	Bodo	10
41.34980989	Bodo	10
41.4584465	Bodo	10
40.57577404	Bodo	10
41.07821836	Bodo	10
40.22270505	Bodo	10
41.03747963	Bodo	10
40.33134166	Bodo	10
40.61651276	Bodo	10
39.99185225	Bodo	10
41.78435633	Bodo	10
41.47202607	Bodo	10
40.15480717	Bodo	10
40.87452471	Bodo	10
40.34492124	Bodo	10
41.25475285	Bodo	10
41.11895709	Bodo	10
40.29060293	Bodo	10
40.86094514	Bodo	10
40.7658881	Bodo	10
41.52634438	Bodo	10
40.64367192	Bodo	10
40.23628463	Bodo	10
41.4584465	Bodo	10
41.58066268	Bodo	10
40.63009234	Bodo	10
40.45355785	Bodo	10
41.36338946	Bodo	10
41.13253666	Bodo	10
41.11895709	Bodo	10
40.29060293	Bodo	10
41.07821836	Bodo	10
41.03747963	Bodo	10
40.82020641	Bodo	10
41.34980989	Bodo	10
41.32265073	Bodo	10
41.18685497	Bodo	10
40.65725149	Bodo	10
40.43997827	Bodo	10
40.98316133	Bodo	10
40.86094514	Bodo	10
41.26833243	Bodo	10
41.29549158	Bodo	10
42.04236828	Bodo	10
40.69799022	Bodo	10
40.92884302	Bodo	10
40.77946768	Bodo	10
41.07821836	Bodo	10
40.88810429	Bodo	10
41.07821836	Bodo	10
41.52634438	Bodo	10
40.54861488	Bodo	10
41.29549158	Bodo	10
41.53992395	Bodo	10
41.87941336	Bodo	10
40.7658881	Bodo	10
40.65725149	Bodo	10
41.49918523	Bodo	10
40.00543183	Bodo	10
40.82020641	Bodo	10
41.53992395	Bodo	10
40.80662683	Bodo	10
41.13253666	Bodo	10
42.19174362	Bodo	10
41.44486692	Bodo	10
40.98316133	Bodo	10
41.06463878	Bodo	10
40.45355785	Bodo	10
41.77077675	Bodo	10
40.31776209	Bodo	10
41.71645845	Bodo	10
42.06952743	Bodo	10
41.40412819	Bodo	10
40.96958175	Bodo	10
41.30907116	Bodo	10
41.14611624	Bodo	10
41.32265073	Bodo	10
41.66214014	Bodo	10
41.29549158	Bodo	10
41.03747963	Bodo	10
41.07821836	Bodo	10
28.72080391	Roscoff	3
27.33568713	Roscoff	3
24.7148289	Roscoff	3
26.43943509	Roscoff	3
28.35415535	Roscoff	3
28.57142857	Roscoff	3
27.72949484	Roscoff	3
27.85171103	Roscoff	3
26.67028789	Roscoff	3
28.08256382	Roscoff	3
26.53449212	Roscoff	3
28.46279196	Roscoff	3
28.58500815	Roscoff	3
28.15046171	Roscoff	3
28.39489408	Roscoff	3
27.44432374	Roscoff	3
26.96903857	Roscoff	3
27.72949484	Roscoff	3
26.62954916	Roscoff	3
28.01466594	Roscoff	3
28.78870179	Roscoff	3
26.58881043	Roscoff	3
28.43563281	Roscoff	3
28.21835959	Roscoff	3
27.53938077	Roscoff	3
28.3269962	Roscoff	3
26.07278653	Roscoff	3
28.0418251	Roscoff	3
28.40847366	Roscoff	3
26.87398153	Roscoff	3
26.3172189	Roscoff	3
27.72949484	Roscoff	3
28.08256382	Roscoff	3
28.10972298	Roscoff	3
26.76534492	Roscoff	3
27.91960891	Roscoff	3
26.57523085	Roscoff	3
28.63932645	Roscoff	3
28.44921238	Roscoff	3
28.20478001	Roscoff	3
26.87398153	Roscoff	3
25.88267246	Roscoff	3
26.58881043	Roscoff	3
27.67517653	Roscoff	3
28.05540467	Roscoff	3
26.58881043	Roscoff	3
28.63932645	Roscoff	3
27.93318848	Roscoff	3
28.29983705	Roscoff	3
26.04562738	Roscoff	3
28.13688213	Roscoff	3
27.40358501	Roscoff	3
28.85659967	Roscoff	3
28.01466594	Roscoff	3
25.99130907	Roscoff	3
27.68875611	Roscoff	3
26.19500272	Roscoff	3
27.25420967	Roscoff	3
27.83813145	Roscoff	3
27.09125475	Roscoff	3
27.14557306	Roscoff	3
26.56165128	Roscoff	3
28.16404128	Roscoff	3
26.99619772	Roscoff	3
26.50733297	Roscoff	3
28.13688213	Roscoff	3
28.39489408	Roscoff	3
27.77023357	Roscoff	3
28.63932645	Roscoff	3
25.96414992	Roscoff	3
26.81966323	Roscoff	3
24.91852254	Roscoff	3
27.26778924	Roscoff	3
28.13688213	Roscoff	3
28.23193916	Roscoff	3
28.15046171	Roscoff	3
27.74307442	Roscoff	3
27.32210755	Roscoff	3
27.75665399	Roscoff	3
24.75556763	Roscoff	3
27.59369908	Roscoff	3
28.08256382	Roscoff	3
25.85551331	Roscoff	3
27.72949484	Roscoff	3
27.0640956	Roscoff	3
26.87398153	Roscoff	3
26.76534492	Roscoff	3
26.41227594	Roscoff	3
28.0961434	Roscoff	3
28.23193916	Roscoff	3
28.35415535	Roscoff	3
28.74796306	Roscoff	3
27.36284628	Roscoff	3
28.15046171	Roscoff	3
26.91472026	Roscoff	3
28.25909832	Roscoff	3
26.62954916	Roscoff	3
28.23193916	Roscoff	3
27.96034764	Roscoff	3
28.39489408	Roscoff	3
37.49321021	Roscoff	6
37.46605106	Roscoff	6
37.83269962	Roscoff	6
37.79196089	Roscoff	6
37.98207496	Roscoff	6
37.77838131	Roscoff	6
36.65127648	Roscoff	6
37.22161869	Roscoff	6
37.99565454	Roscoff	6
37.52036936	Roscoff	6
36.55621945	Roscoff	6
37.3302553	Roscoff	6
37.6154264	Roscoff	6
37.65616513	Roscoff	6
37.52036936	Roscoff	6
37.65616513	Roscoff	6
37.01792504	Roscoff	6
38.22650733	Roscoff	6
37.77838131	Roscoff	6
36.5833786	Roscoff	6
38.29440521	Roscoff	6
35.97229766	Roscoff	6
36.40684411	Roscoff	6
37.60184682	Roscoff	6
36.67843563	Roscoff	6
37.05866377	Roscoff	6
