P	POP	n
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
41.01054697	BancMagaud_2	3
41.64827079	BancMagaud_2	3
37.33137111	BancMagaud_2	3
57.54231052	BancMagaud_2	3
40.20112828	BancMagaud_2	3
37.74834437	BancMagaud_2	3
57.54231052	BancMagaud_2	3
36.64459161	BancMagaud_2	3
58.18003434	BancMagaud_2	3
57.44419917	BancMagaud_2	3
50.42923718	BancMagaud_2	3
41.52563159	BancMagaud_2	3
35.78611724	BancMagaud_2	3
35.49178317	BancMagaud_2	3
38.99926416	BancMagaud_2	3
36.20309051	BancMagaud_2	3
37.96909492	BancMagaud_2	3
56.70836399	BancMagaud_2	3
36.20309051	BancMagaud_2	3
35.49178317	BancMagaud_2	3
56.70836399	BancMagaud_2	3
41.86902134	BancMagaud_2	3
35.63895021	BancMagaud_2	3
37.89551141	BancMagaud_2	3
34.41255825	BancMagaud_2	3
40.00490557	BancMagaud_2	3
57.68947756	BancMagaud_2	3
38.11626196	BancMagaud_2	3
37.11062055	BancMagaud_2	3
35.66347805	BancMagaud_2	3
37.84645573	BancMagaud_2	3
35.46725533	BancMagaud_2	3
41.86902134	BancMagaud_2	3
58.22909002	BancMagaud_2	3
36.66911945	BancMagaud_2	3
41.99166053	BancMagaud_2	3
40.00490557	BancMagaud_2	3
35.17292127	BancMagaud_2	3
57.61589404	BancMagaud_2	3
38.72945793	BancMagaud_2	3
41.86902134	BancMagaud_2	3
36.66911945	BancMagaud_2	3
57.93475595	BancMagaud_2	3
35.49178317	BancMagaud_2	3
56.70836399	BancMagaud_2	3
36.69364729	BancMagaud_2	3
36.20309051	BancMagaud_2	3
57.54231052	BancMagaud_2	3
40.81432426	BancMagaud_2	3
36.69364729	BancMagaud_2	3
29.70321315	BancMagaud_2	3
37.69928869	BancMagaud_2	3
30.56168752	BancMagaud_2	3
36.74270297	BancMagaud_2	3
41.30488104	BancMagaud_2	3
40.81432426	BancMagaud_2	3
36.98798136	BancMagaud_2	3
38.11626196	BancMagaud_2	3
40.86337994	BancMagaud_2	3
37.38042678	BancMagaud_2	3
39.90679421	BancMagaud_2	3
28.28059848	BancMagaud_2	3
30.85602158	BancMagaud_2	3
37.69928869	BancMagaud_2	3
35.78611724	BancMagaud_2	3
31.27299485	BancMagaud_2	3
37.84645573	BancMagaud_2	3
40.93696345	BancMagaud_2	3
56.97817022	BancMagaud_2	3
31.42016188	BancMagaud_2	3
28.13343144	BancMagaud_2	3
30.85602158	BancMagaud_2	3
58.18003434	BancMagaud_2	3
41.89354918	BancMagaud_2	3
57.54231052	BancMagaud_2	3
41.05960265	BancMagaud_2	3
36.66911945	BancMagaud_2	3
30.85602158	BancMagaud_2	3
39.90679421	BancMagaud_2	3
57.10080942	BancMagaud_2	3
37.20873191	BancMagaud_2	3
56.83100319	BancMagaud_2	3
30.56168752	BancMagaud_2	3
38.18984547	BancMagaud_2	3
54.47633064	BancMagaud_2	3
37.20873191	BancMagaud_2	3
37.96909492	BancMagaud_2	3
34.41255825	BancMagaud_2	3
36.57100809	BancMagaud_2	3
56.97817022	BancMagaud_2	3
37.74834437	BancMagaud_2	3
39.90679421	BancMagaud_2	3
36.64459161	BancMagaud_2	3
55.50649988	BancMagaud_2	3
57.07628158	BancMagaud_2	3
35.49178317	BancMagaud_2	3
56.24233505	BancMagaud_2	3
37.0125092	BancMagaud_2	3
41.64827079	BancMagaud_2	3
37.77287221	BancMagaud_2	3
51.58204562	BancMagaud_2	6
44.95952907	BancMagaud_2	6
51.11601668	BancMagaud_2	6
45.18027962	BancMagaud_2	6
51.92543537	BancMagaud_2	6
67.54966887	BancMagaud_2	6
45.00858474	BancMagaud_2	6
69.43831248	BancMagaud_2	6
61.73657101	BancMagaud_2	6
48.66323277	BancMagaud_2	6
69.24208977	BancMagaud_2	6
69.14397842	BancMagaud_2	6
51.80279617	BancMagaud_2	6
45.03311258	BancMagaud_2	6
66.32327692	BancMagaud_2	6
65.75913662	BancMagaud_2	6
68.23644837	BancMagaud_2	6
51.33676723	BancMagaud_2	6
48.56512141	BancMagaud_2	6
49.35001226	BancMagaud_2	6
63.11013	BancMagaud_2	6
68.08928133	BancMagaud_2	6
48.73681629	BancMagaud_2	6
49.64434633	BancMagaud_2	6
68.3836154	BancMagaud_2	6
42.13882757	BancMagaud_2	6
51.82732401	BancMagaud_2	6
49.05567819	BancMagaud_2	6
65.48933039	BancMagaud_2	6
49.25190091	BancMagaud_2	6
68.67794947	BancMagaud_2	6
69.36472897	BancMagaud_2	6
65.14594064	BancMagaud_2	6
51.7537405	BancMagaud_2	6
51.5084621	BancMagaud_2	6
41.81996566	BancMagaud_2	6
48.22173167	BancMagaud_2	6
50.99337748	BancMagaud_2	6
64.99877361	BancMagaud_2	6
48.46701006	BancMagaud_2	6
66.17610988	BancMagaud_2	6
68.26097621	BancMagaud_2	6
66.15158205	BancMagaud_2	6
48.00098111	BancMagaud_2	6
65.78366446	BancMagaud_2	6
64.65538386	BancMagaud_2	6
48.46701006	BancMagaud_2	6
46.28403238	BancMagaud_2	6
49.9386804	BancMagaud_2	6
41.45204807	BancMagaud_2	6
45.03311258	BancMagaud_2	6
64.70443954	BancMagaud_2	6
65.78366446	BancMagaud_2	6
48.00098111	BancMagaud_2	6
48.4915379	BancMagaud_2	6
65.48933039	BancMagaud_2	6
44.44444444	BancMagaud_2	6
66.71572234	BancMagaud_2	6
45.20480746	BancMagaud_2	6
41.50110375	BancMagaud_2	6
68.40814324	BancMagaud_2	6
45.89158695	BancMagaud_2	6
66.76477802	BancMagaud_2	6
44.81236203	BancMagaud_2	6
45.69536424	BancMagaud_2	6
51.90090753	BancMagaud_2	6
65.53838607	BancMagaud_2	6
65.61196959	BancMagaud_2	6
52.17071376	BancMagaud_2	6
51.09148884	BancMagaud_2	6
66.76477802	BancMagaud_2	6
67.67230807	BancMagaud_2	6
51.90090753	BancMagaud_2	6
44.81236203	BancMagaud_2	6
65.53838607	BancMagaud_2	6
67.52514104	BancMagaud_2	6
51.5084621	BancMagaud_2	6
68.75153299	BancMagaud_2	6
66.17610988	BancMagaud_2	6
67.72136375	BancMagaud_2	6
65.53838607	BancMagaud_2	6
51.1896002	BancMagaud_2	6
67.72136375	BancMagaud_2	6
68.21192053	BancMagaud_2	6
52.34240863	BancMagaud_2	6
51.5084621	BancMagaud_2	6
50.79715477	BancMagaud_2	6
49.25190091	BancMagaud_2	6
67.89305862	BancMagaud_2	6
52.26882512	BancMagaud_2	6
51.09148884	BancMagaud_2	6
42.13882757	BancMagaud_2	6
44.81236203	BancMagaud_2	6
48.61417709	BancMagaud_2	6
65.244052	BancMagaud_2	6
67.84400294	BancMagaud_2	6
65.85724798	BancMagaud_2	6
52.14618592	BancMagaud_2	6
49.86509688	BancMagaud_2	6
65.14594064	BancMagaud_2	6
49.84056905	BancMagaud_2	8
68.9477557	BancMagaud_2	8
68.89870002	BancMagaud_2	8
70.10056414	BancMagaud_2	8
53.27446652	BancMagaud_2	8
70.78734364	BancMagaud_2	8
71.54770665	BancMagaud_2	8
68.55531028	BancMagaud_2	8
72.70051508	BancMagaud_2	8
53.91219034	BancMagaud_2	8
49.76698553	BancMagaud_2	8
70.78734364	BancMagaud_2	8
69.83075791	BancMagaud_2	8
51.97449105	BancMagaud_2	8
71.3269561	BancMagaud_2	8
69.95339711	BancMagaud_2	8
70.98356635	BancMagaud_2	8
51.7537405	BancMagaud_2	8
71.44959529	BancMagaud_2	8
49.76698553	BancMagaud_2	8
71.2043169	BancMagaud_2	8
68.62889379	BancMagaud_2	8
72.65145941	BancMagaud_2	8
73.06843267	BancMagaud_2	8
71.49865097	BancMagaud_2	8
70.98356635	BancMagaud_2	8
70.59112092	BancMagaud_2	8
72.55334805	BancMagaud_2	8
53.83860682	BancMagaud_2	8
70.78734364	BancMagaud_2	8
52.44051999	BancMagaud_2	8
51.21412804	BancMagaud_2	8
71.25337258	BancMagaud_2	8
69.58547952	BancMagaud_2	8
47.60853569	BancMagaud_2	8
70.98356635	BancMagaud_2	8
69.36472897	BancMagaud_2	8
68.89870002	BancMagaud_2	8
71.10620554	BancMagaud_2	8
68.62889379	BancMagaud_2	8
70.95903851	BancMagaud_2	8
70.10056414	BancMagaud_2	8
54.37821928	BancMagaud_2	8
69.95339711	BancMagaud_2	8
49.76698553	BancMagaud_2	8
70.78734364	BancMagaud_2	8
72.70051508	BancMagaud_2	8
69.31567329	BancMagaud_2	8
71.22884474	BancMagaud_2	8
55.55555556	BancMagaud_2	8
67.30439048	BancMagaud_2	8
67.69683591	BancMagaud_2	8
71.3269561	BancMagaud_2	8
52.34240863	BancMagaud_2	8
53.91219034	BancMagaud_2	8
72.67598725	BancMagaud_2	8
71.54770665	BancMagaud_2	8
48.39342654	BancMagaud_2	8
73.01937699	BancMagaud_2	8
70.5175374	BancMagaud_2	8
51.99901889	BancMagaud_2	8
71.25337258	BancMagaud_2	8
53.93671818	BancMagaud_2	8
69.41378465	BancMagaud_2	8
69.95339711	BancMagaud_2	8
72.8967378	BancMagaud_2	8
51.21412804	BancMagaud_2	8
49.76698553	BancMagaud_2	8
70.88545499	BancMagaud_2	8
72.18543046	BancMagaud_2	8
69.58547952	BancMagaud_2	8
69.75717439	BancMagaud_2	8
68.75153299	BancMagaud_2	8
70.88545499	BancMagaud_2	8
71.42506745	BancMagaud_2	8
70.90998283	BancMagaud_2	8
67.8194751	BancMagaud_2	8
66.98552857	BancMagaud_2	8
70.41942605	BancMagaud_2	8
71.42506745	BancMagaud_2	8
69.73264655	BancMagaud_2	8
52.44051999	BancMagaud_2	8
69.61000736	BancMagaud_2	8
70.78734364	BancMagaud_2	8
72.55334805	BancMagaud_2	8
67.77041943	BancMagaud_2	8
68.31003189	BancMagaud_2	8
54.03482953	BancMagaud_2	8
70.71376012	BancMagaud_2	8
71.49865097	BancMagaud_2	8
71.42506745	BancMagaud_2	8
68.45719892	BancMagaud_2	8
70.88545499	BancMagaud_2	8
71.49865097	BancMagaud_2	8
71.00809419	BancMagaud_2	8
71.49865097	BancMagaud_2	8
68.04022566	BancMagaud_2	8
69.85528575	BancMagaud_2	8
72.7740986	BancMagaud_2	8
70.02698062	BancMagaud_2	8
74.39293598	BancMagaud_2	10
73.24012754	BancMagaud_2	10
72.99484915	BancMagaud_2	10
72.99484915	BancMagaud_2	10
74.39293598	BancMagaud_2	10
72.72504292	BancMagaud_2	10
74.31935247	BancMagaud_2	10
72.99484915	BancMagaud_2	10
55.82536179	BancMagaud_2	10
74.31935247	BancMagaud_2	10
72.99484915	BancMagaud_2	10
74.31935247	BancMagaud_2	10
73.16654403	BancMagaud_2	10
74.31935247	BancMagaud_2	10
74.39293598	BancMagaud_2	10
72.99484915	BancMagaud_2	10
72.38165318	BancMagaud_2	10
71.69487368	BancMagaud_2	10
55.82536179	BancMagaud_2	10
73.24012754	BancMagaud_2	10
73.24012754	BancMagaud_2	10
71.69487368	BancMagaud_2	10
72.38165318	BancMagaud_2	10
74.39293598	BancMagaud_2	10
55.82536179	BancMagaud_2	10
74.39293598	BancMagaud_2	10
55.82536179	BancMagaud_2	10
73.24012754	BancMagaud_2	10
72.38165318	BancMagaud_2	10
72.99484915	BancMagaud_2	10
74.31935247	BancMagaud_2	10
73.24012754	BancMagaud_2	10
72.99484915	BancMagaud_2	10
72.99484915	BancMagaud_2	10
73.24012754	BancMagaud_2	10
72.99484915	BancMagaud_2	10
74.31935247	BancMagaud_2	10
74.31935247	BancMagaud_2	10
55.82536179	BancMagaud_2	10
73.24012754	BancMagaud_2	10
73.16654403	BancMagaud_2	10
72.99484915	BancMagaud_2	10
72.72504292	BancMagaud_2	10
73.16654403	BancMagaud_2	10
73.24012754	BancMagaud_2	10
73.16654403	BancMagaud_2	10
72.38165318	BancMagaud_2	10
72.99484915	BancMagaud_2	10
74.31935247	BancMagaud_2	10
73.16654403	BancMagaud_2	10
73.24012754	BancMagaud_2	10
74.31935247	BancMagaud_2	10
74.31935247	BancMagaud_2	10
72.72504292	BancMagaud_2	10
74.31935247	BancMagaud_2	10
74.31935247	BancMagaud_2	10
72.72504292	BancMagaud_2	10
74.39293598	BancMagaud_2	10
72.99484915	BancMagaud_2	10
72.38165318	BancMagaud_2	10
72.99484915	BancMagaud_2	10
73.16654403	BancMagaud_2	10
74.31935247	BancMagaud_2	10
74.31935247	BancMagaud_2	10
74.31935247	BancMagaud_2	10
73.24012754	BancMagaud_2	10
74.39293598	BancMagaud_2	10
71.69487368	BancMagaud_2	10
73.16654403	BancMagaud_2	10
71.69487368	BancMagaud_2	10
72.38165318	BancMagaud_2	10
73.24012754	BancMagaud_2	10
74.31935247	BancMagaud_2	10
74.31935247	BancMagaud_2	10
72.99484915	BancMagaud_2	10
71.69487368	BancMagaud_2	10
73.16654403	BancMagaud_2	10
74.31935247	BancMagaud_2	10
55.82536179	BancMagaud_2	10
72.72504292	BancMagaud_2	10
74.31935247	BancMagaud_2	10
73.16654403	BancMagaud_2	10
72.99484915	BancMagaud_2	10
74.31935247	BancMagaud_2	10
72.99484915	BancMagaud_2	10
74.39293598	BancMagaud_2	10
74.31935247	BancMagaud_2	10
55.82536179	BancMagaud_2	10
72.99484915	BancMagaud_2	10
72.99484915	BancMagaud_2	10
71.69487368	BancMagaud_2	10
74.39293598	BancMagaud_2	10
73.16654403	BancMagaud_2	10
73.24012754	BancMagaud_2	10
74.31935247	BancMagaud_2	10
74.31935247	BancMagaud_2	10
72.38165318	BancMagaud_2	10
73.24012754	BancMagaud_2	10
72.99484915	BancMagaud_2	10
73.16654403	BancMagaud_2	10
34.63330881	CapCamarat	3
20.94677459	CapCamarat	3
19.81849399	CapCamarat	3
20.18641158	CapCamarat	3
40.51999019	CapCamarat	3
21.06941378	CapCamarat	3
19.35246505	CapCamarat	3
18.78832475	CapCamarat	3
19.84302183	CapCamarat	3
19.52415992	CapCamarat	3
18.93549178	CapCamarat	3
19.59774344	CapCamarat	3
36.69364729	CapCamarat	3
24.84670101	CapCamarat	3
19.35246505	CapCamarat	3
18.17512877	CapCamarat	3
35.7615894	CapCamarat	3
19.4505764	CapCamarat	3
19.22982585	CapCamarat	3
19.52415992	CapCamarat	3
35.39367182	CapCamarat	3
24.9693402	CapCamarat	3
22.54108413	CapCamarat	3
19.42604857	CapCamarat	3
19.76943831	CapCamarat	3
